source_model	table	field	ordinal	description_cn
CoA_Chongqin_2015	LIB_VRV_SOURCE	FAN_POWER_A	22	50%以下室外机风机功耗系数A
CoA_Chongqin_2015	LIB_VRV_SOURCE	FAN_POWER_B	23	50%以下室外机风机功耗系数B
CoA_Chongqin_2015	LIB_VRV_SOURCE	FAN_POWER_C	24	50%以下室外机风机功耗系数C
CoA_Chongqin_2015	LIB_VRV_SOURCE	FAN_POWER_D	25	50%以下室外机风机功耗系数D
CoA_Chongqin_2015	LIB_VRV_SOURCE	FAN_POWER_E	26	50%以下室外机风机功耗系数E
CoA_Chongqin_2015	LIB_VRV_SOURCE	FAN_POWER_F	27	50%以下室外机风机功耗系数F
CoA_Chongqin_2015	LIB_VRV_SOURCE	H_CPPOWER_A	28	50%以上压缩机能耗系数A
CoA_Chongqin_2015	LIB_VRV_SOURCE	H_CPPOWER_B	29	50%以上压缩机能耗系数B
CoA_Chongqin_2015	LIB_VRV_SOURCE	H_CPPOWER_C	30	50%以上压缩机能耗系数C
CoA_Chongqin_2015	LIB_VRV_SOURCE	H_CPPOWER_D	31	50%以上压缩机能耗系数D
CoA_Chongqin_2015	LIB_VRV_SOURCE	H_CPPOWER_E	32	50%以上压缩机能耗系数E
CoA_Chongqin_2015	LIB_VRV_SOURCE	H_CPPOWER_F	33	50%以上压缩机能耗系数F
CoA_Chongqin_2015	LIB_VRV_SOURCE	L_CPPOWER_A	34	50%以下压缩机能耗系数A
CoA_Chongqin_2015	LIB_VRV_SOURCE	L_CPPOWER_B	35	50%以下压缩机能耗系数B
CoA_Chongqin_2015	LIB_VRV_SOURCE	L_CPPOWER_C	36	50%以下压缩机能耗系数C
CoA_Chongqin_2015	LIB_VRV_SOURCE	L_CPPOWER_D	37	50%以下压缩机能耗系数D
CoA_Chongqin_2015	LIB_VRV_SOURCE	L_CPPOWER_E	38	50%以下压缩机能耗系数E
CoA_Chongqin_2015	LIB_VRV_SOURCE	L_CPPOWER_F	39	50%以下压缩机能耗系数F
CoA_Chongqin_2015	LIB_VRV_SOURCE	PLR_LOWLIMIT	40	系统运行的负荷率下限
CoA_Chongqin_2015	LIB_VRV_SOURCE	EXT_PROPERTY	41	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	LIB_VRV_TERMINAL	ID	1	编号
CoA_Chongqin_2015	LIB_VRV_TERMINAL	NAME	2	名称
CoA_Chongqin_2015	LIB_VRV_TERMINAL	TYPE	3	分类名称
CoA_Chongqin_2015	LIB_VRV_TERMINAL	MANUFACTURER	4	制造商
CoA_Chongqin_2015	LIB_VRV_TERMINAL	CAPACITY_COOL	5	制冷容量 kW
CoA_Chongqin_2015	LIB_VRV_TERMINAL	CAPACITY_HEAT	6	制热容量 kW
CoA_Chongqin_2015	LIB_VRV_TERMINAL	FAN_POWER	7	室内机风机额定功率 kW
CoA_Chongqin_2015	LIB_VRV_TERMINAL	FAN_FLOW_HIGH	8	室内机风机额定风量（高档） m^3/h
CoA_Chongqin_2015	LIB_VRV_TERMINAL	FAN_FLOW_LOW	9	室内机风机额定风量（低档） m^3/h
CoA_Chongqin_2015	LIB_VRV_TERMINAL	FAI_LIQUID	10	连接配管直径：液管 mm
CoA_Chongqin_2015	LIB_VRV_TERMINAL	FAI_GAS	11	连接配管直径：气管 mm
CoA_Chongqin_2015	LIB_VRV_TERMINAL	R_AIR	12	室外机换热器空气侧热阻 K/kW
CoA_Chongqin_2015	LIB_VRV_TERMINAL	R_REF	13	室外机换热器制冷剂侧热阻 K/kW
CoA_Chongqin_2015	LIB_VRV_TERMINAL	EXT_PROPERTY	14	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	VRV_SOURCE	ID	1	编号
CoA_Chongqin_2015	VRV_SOURCE	NAME	2	名称
CoA_Chongqin_2015	VRV_SOURCE	LIB_ID	3	室外机类型编号
CoA_Chongqin_2015	VRV_SOURCE	X	4	室外机位置
CoA_Chongqin_2015	VRV_SOURCE	Y	5	室外机位置
CoA_Chongqin_2015	VRV_SOURCE	Z	6	室外机位置
CoA_Chongqin_2015	VRV_SOURCE	EXT_PROPERTY	7	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	VRV_TERMINAL	ID	1	编号
CoA_Chongqin_2015	VRV_TERMINAL	NAME	2	名称
CoA_Chongqin_2015	VRV_TERMINAL	LIB_ID	3	室内机类型编号
CoA_Chongqin_2015	VRV_TERMINAL	OF_ROOM_GROUP	4	所属房间组编号
CoA_Chongqin_2015	VRV_TERMINAL	OF_SYS	5	所属室外机编号
CoA_Chongqin_2015	VRV_TERMINAL	OF_SYS_NO	6	所在序号
CoA_Chongqin_2015	VRV_TERMINAL	X	7	室内机位置
CoA_Chongqin_2015	VRV_TERMINAL	Y	8	室内机位置
CoA_Chongqin_2015	VRV_TERMINAL	Z	9	室内机位置
CoA_Chongqin_2015	VRV_TERMINAL	CX	10	主管连接点位置
CoA_Chongqin_2015	VRV_TERMINAL	CY	11	主管连接点位置
CoA_Chongqin_2015	VRV_TERMINAL	CZ	12	主管连接点位置
CoA_Chongqin_2015	VRV_TERMINAL	EXT_PROPERTY	13	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	ID	1	编号
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	NAME	2	名称
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	A1	3	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	B1	4	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	P1	5	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	A2	6	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	B2	7	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	P2	8	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	A3	9	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	B3	10	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	P3	11	""
CoA_Chongqin_2015	LIB_SHP_DEVICE_V1	REMARK	12	""
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE	ID	1	编号
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE	NAME	2	名称
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE	GROUP_NAME	3	""
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE	REMARK	4	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	ID	1	编号
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	NAME	2	名称
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D0	3	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D1	4	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D2	5	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D3	6	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D4	7	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D5	8	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D6	9	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D7	10	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D8	11	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D9	12	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D10	13	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D11	14	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D12	15	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D13	16	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D14	17	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	D15	18	""
CoA_Chongqin_2015	LIB_WIND_RATIO_MODEL_V1	REMARK	19	""
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE_MODEL	TYPE_ID	1	""
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE_MODEL	PERCENT	2	""
CoA_Chongqin_2015	LIB_WIND_RATIO_TYPE_MODEL	MODEL_ID	3	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	ID	1	编号
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	NAME	2	名称
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	POWER	3	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	DENSITY	4	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	RATIO	5	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	COUNT	6	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	STANDBY	7	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	SCHEDULE	8	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	MODE	9	""
CoA_Chongqin_2015	ENERGY_LIFT_ESCALATOR	EXT_PROPERTY	10	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	ENERGY_PUMP_FAN	ID	1	编号
CoA_Chongqin_2015	ENERGY_PUMP_FAN	NAME	2	名称
CoA_Chongqin_2015	ENERGY_PUMP_FAN	FLOWRATE	3	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	PRESSURE	4	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	RATIO	5	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	COUNT	6	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	INVERTER	7	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	SCHEDULE	8	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	MODE	9	""
CoA_Chongqin_2015	ENERGY_PUMP_FAN	EXT_PROPERTY	10	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	ID	1	编号
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	NAME	2	名称
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	MEAN_FLOWRATE_DAY	3	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	SCHEDULE	4	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	MODE	5	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	MAX_FLOWRATE_COOLING	6	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	SCHEDULE_COOLING	7	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	FLOWRATE_MAJOR	8	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	PRESSURE_MAJOR	9	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	RATIO_MAJOR	10	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	COUNT_MAJOR	11	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	FLOWRATE_MINOR	12	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	PRESSURE_MINOR	13	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	RATIO_MINOR	14	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	COUNT_MINOR	15	""
CoA_Chongqin_2015	ENERGY_PUMP_GROUP	EXT_PROPERTY	16	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	ENERGY_DEVICE	ID	1	编号
CoA_Chongqin_2015	ENERGY_DEVICE	NAME	2	名称
CoA_Chongqin_2015	ENERGY_DEVICE	POWER	3	""
CoA_Chongqin_2015	ENERGY_DEVICE	COUNT	4	""
CoA_Chongqin_2015	ENERGY_DEVICE	SCHEDULE	5	""
CoA_Chongqin_2015	ENERGY_DEVICE	EXT_PROPERTY	6	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	ENERGY_HOTWATER	ID	1	编号
CoA_Chongqin_2015	ENERGY_HOTWATER	NAME	2	名称
CoA_Chongqin_2015	ENERGY_HOTWATER	SYS_TYPE	3	""
CoA_Chongqin_2015	ENERGY_HOTWATER	FUEL_TYPE	4	""
CoA_Chongqin_2015	ENERGY_HOTWATER	MEAN_FLOWRATE_DAY	5	""
CoA_Chongqin_2015	ENERGY_HOTWATER	SCHEDULE_SUPPLY	6	""
CoA_Chongqin_2015	ENERGY_HOTWATER	SCHEDULE_HOT_TEMP	7	""
CoA_Chongqin_2015	ENERGY_HOTWATER	SCHEDULE_SOURCE_TEMP	8	""
CoA_Chongqin_2015	ENERGY_HOTWATER	SCHEDULE_ENV_TEMP	9	""
CoA_Chongqin_2015	ENERGY_HOTWATER	DISTANCE	10	""
CoA_Chongqin_2015	ENERGY_HOTWATER	INSULATION_LEVEL	11	""
CoA_Chongqin_2015	ENERGY_HOTWATER	FLOWRATE_PUMP	12	""
CoA_Chongqin_2015	ENERGY_HOTWATER	PRESSURE_PUMP	13	""
CoA_Chongqin_2015	ENERGY_HOTWATER	RATIO_PUMP	14	""
CoA_Chongqin_2015	ENERGY_HOTWATER	COUNT_PUMP	15	""
CoA_Chongqin_2015	ENERGY_HOTWATER	SCHEDULE_PUMP	16	""
CoA_Chongqin_2015	ENERGY_HOTWATER	EXT_PROPERTY	17	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	GROUND_CONSTRUCTION	ID	1	编号
CoA_Chongqin_2015	GROUND_CONSTRUCTION	LAYER_NO	2	""
CoA_Chongqin_2015	GROUND_CONSTRUCTION	THICKNESS	3	""
CoA_Chongqin_2015	GROUND_CONSTRUCTION	CONDUCTIVITY	4	""
CoA_Chongqin_2015	GROUND_CONSTRUCTION	DENSITY	5	""
CoA_Chongqin_2015	GROUND_CONSTRUCTION	SPECIFIC_HEAT	6	""
CoA_Chongqin_2015	GROUND_CONSTRUCTION	EXT_PROPERTY	7	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	GROUND_Q	ID	1	编号
CoA_Chongqin_2015	GROUND_Q	QA	2	""
CoA_Chongqin_2015	GROUND_Q	QF	3	""
CoA_Chongqin_2015	GROUND_Q	EXT_PROPERTY	4	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	ID	1	编号
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	NAME	2	名称
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	TYPE	3	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	MANUFACTURER	4	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	CAPACITY_COOL	5	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	CAPACITY_HEAT	6	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	POWER_COOL	7	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	POWER_HEAT	8	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	POWER_COMP_COOL	9	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	POWER_COMP_HEAT	10	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FLOWRATE	11	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_NOM	12	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAI_LIQUID	13	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAI_GAS	14	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	NOM_REF_FLOW	15	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	NOM_AIR_FLOW	16	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_A	17	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_B	18	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_C	19	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_D	20	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_E	21	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	FAN_POWER_F	22	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	C_CPPOWER_A	23	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	C_CPPOWER_B	24	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	C_CPPOWER_C	25	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	C_CPPOWER_D	26	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	C_CPPOWER_E	27	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	C_CPPOWER_F	28	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	H_CPPOWER_A	29	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	H_CPPOWER_B	30	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	H_CPPOWER_C	31	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	H_CPPOWER_D	32	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	H_CPPOWER_E	33	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	H_CPPOWER_F	34	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	PLR_LOWLIMIT	35	""
CoA_Chongqin_2015	LIB_VRV_SOURCE_V1	EXT_PROPERTY	36	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	ID	1	编号
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	NAME	2	名称
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	TYPE	3	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	MANUFACTURER	4	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	CAPACITY_COOL	5	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	CAPACITY_HEAT	6	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	FAN_POWER	7	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	FAN_FLOW_HIGH	8	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	FAN_FLOW_LOW	9	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	FAI_LIQUID	10	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	FAI_GAS	11	""
CoA_Chongqin_2015	LIB_VRV_TERMINAL_V1	EXT_PROPERTY	12	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	ID	1	编号
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	NAME	2	名称
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	FLOWRATE	3	""
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	COOL_CAP	4	""
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	HEAT_CAP	5	""
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	COOL_POWER	6	""
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	HEAT_POWER	7	""
CoA_Chongqin_2015	LIB_ROOFUNIT_DEVICE	EXT_PROPERTY	8	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	Conversion Errors	Object Type	1	""
CoA_Chongqin_2015	Conversion Errors	Object Name	2	""
CoA_Chongqin_2015	Conversion Errors	Error Description	3	""
